"global_id","entity_id","content_type","content_title","content_topic","portal_name"
"214","214","article","Introduction to Aging and Dementia","Brain Health","caac"
"243","243","article","Delirium, Depression, and Apathy","Brain Health","caac"
"284","284","article","Communication and Dementia","Brain Health","caac"
"285","285","article","Sexuality and Dementia","Brain Health","caac"
"332","332","article","Latest Research on Exercise and Brain Health",NULL,"caac"
"333","333","article","Sibling Conflict and Caregiving Roles",NULL,"caac"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","kansas"
"53","53","elearn","Moving & Transferring",NULL,"kansas"
"54","54","elearn","Moving Techniques",NULL,"kansas"
"334","334","video","Good Morning Stretches","Activities & Recreation","kansas"
"529","335","article","Dementia Resource Guide","Central Alabama Resources","caac"
"282","282","article","Caregiver Guilt","Caregiver Wellness","caac"
"287","287","audio","Alz Music - Country","Music Therapy","caac"
"197","197","article","Care Chat: Driving & Dementia","Dementia Expert","caac"
"252","252","article","Delirium: Signs and Symptoms","Safety & Injury Prevention","caac"
"291","291","article","Energy Conservation","Caregiver Wellness","caac"
"290","290","video","Finding Strength through Difficult Changes","Caregiver Wellness","caac"
"251","251","article","Helping with Daily Tasks around the Home",NULL,"caac"
"272","272","article","Managing Medications at Home","Personal Care","caac"
"292","292","article","Reducing Social Isolation with Technology","Caregiver Wellness","caac"
"314","314","article","Surgery: Cognitive and Memory Changes",NULL,"caac"
"95","95","video","Teepa Snow: PAC Skills Make the Difference","Dementia Expert","caac"
"257","257","article","Urinary Tract Infections: A Guide For Families","Safety & Injury Prevention","caac"
"286","286","audio","Alz Music - Vocal Standards","Music Therapy","caac"
"321","321","article","Home Safety: Dementia and Injury Prevention",NULL,"caac"
"308","308","article","Sensory Stimulation: Using the 5 Senses to Create Meaningful Moments","Activities & Recreation","caac"
"192","192","article","Fall Prevention at Home",NULL,"caac"
"254","254","article","Managing Pain in Older Adults",NULL,"caac"
"244","244","article","Dementia and Assisting with Dressing",NULL,"caac"
"246","246","article","Eating and Appetite Concerns",NULL,"caac"
"187","187","article","Shaving","Personal Care","caac"
"256","256","article","Sleep and Dementia",NULL,"caac"
"299","299","article","Bathroom Safety","Safety & Injury Prevention","caac"
"298","298","article","Consent: Dementia and Sexuality",NULL,"caac"
"288","288","article","Elder Abuse","Safety & Injury Prevention","caac"
"264","264","article","Financial Safety",NULL,"caac"
"318","318","article","Hallucinations and Brain Changes","Brain Health","caac"
"283","283","video","Kitchen Safety with Mid-stage Dementia","Dementia Expert","caac"
"322","322","article","Reframing Negative Thoughts","Caregiver Wellness","caac"
"248","248","article","Temporary Relief for the Family Caregiver",NULL,"caac"
"20","20","video","Teepa Snow: Dementia Care Provisions","Dementia Expert","caac"
"113","113","article","Denture Care Tips",NULL,"caac"
"310","310","article","Effective Self-Care","Caregiver Wellness","caac"
"188","188","article","Choosing the Right Products when Assisting in the Bathroom","Personal Care","caac"
"247","247","audio","Big Band Medley","Music Therapy","caac"
"236","236","elearn","Pressure Injuries","Safety & Injury Prevention","caac"
"273","273","article","Reducing Medication Risks","Safety & Injury Prevention","caac"
"537","343","article","Project Lifesaver Enrollment & Application","Central Alabama Resources","caac"
"536","342","article","Support Groups & Resources","Central Alabama Resources","caac"
