"portal_user_id","age_range","gender","tags"
"coaaa-190","60+","female","[""Activities"", ""Aggression"", ""Agitation"", ""Anxiety"", ""Bathing"", ""Resisting Care"", ""Wandering"", ""Withdrawing""]"
"wisconsin-1266","46-60","female","[""Bathing"", ""Fraud & Scams"", ""Self-Care""]"
"sarpc-184","60+","female","[""Self-Care""]"
"wisconsin-50","18-25","male","[""Abuse"", ""Aging"", ""Dementia & Alzheimer's"", ""Diabetes"", ""Driving""]"
"wisconsin-93","36-45","female","[""Activities"", ""Future Planning"", ""Moving & Transfers"", ""Power of Attorney"", ""Relationships""]"
"wisconsin-100","26-35","female","[""Hoarding""]"
"wisconsin-106","18-25","female","[""Activities"", ""Mealtime"", ""Parkinson's"", ""Physical Changes""]"
"wisconsin-119","26-35","female","[""Caring for Kids""]"
"wisconsin-150","26-35","female","[""Emotions""]"
"wisconsin-154","46-60","female","[""Mealtime""]"
"wisconsin-165","60+","female","[""Aggression""]"
"wisconsin-190","18-25","other","[""Moving & Transfers"", ""Self-Care""]"
"wisconsin-205","NA","NA","[""Aggression"", ""Agitation"", ""Boredom"", ""Dementia & Alzheimer's"", ""Dressing"", ""Emotions"", ""Falls"", ""Future Planning"", ""Hospitals"", ""Mealtime"", ""Mental Changes"", ""Mobility"", ""Physical Changes"", ""Repetition"", ""Toileting""]"
"wisconsin-207","46-60","female","[""Dementia & Alzheimer's""]"
"wisconsin-226","46-60","female","[""Anxiety""]"
"wellwise-229","46-60","female","[""Future Planning""]"
"hoco-50","18-25","male","[""Abuse"", ""Activities"", ""Aggression"", ""Agitation"", ""Driving"", ""Falls"", ""Future Planning"", ""Local Resources"", ""Mobility"", ""Pain""]"
"beas-50","18-25","male","[""Activities"", ""Aging"", ""Dementia & Alzheimer's"", ""Doctors"", ""Dressing"", ""Heart Health"", ""Loneliness"", ""Mobility"", ""Moving & Transfers"", ""Power of Attorney"", ""Prescriptions"", ""Repetition"", ""Self-Care"", ""Skin"", ""Toileting"", ""UTIs"", ""Withdrawing""]"
"wisconsin-425","46-60","female","[""Aggression""]"
"wisconsin-446","NA","NA","[""Mealtime"", ""Physical Changes"", ""Power of Attorney""]"
"wisconsin-483","NA","NA","[""Heart Health"", ""Loneliness"", ""Lung Health"", ""Withdrawing""]"
"smpdd-203","46-60","female","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Raising Grandchildren"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"seagoaaa-216","60+","female","[""Agitation"", ""Dementia & Alzheimer's"", ""Emotions"", ""Hoarding"", ""Local Resources"", ""Parkinson's"", ""Physical Changes"", ""Repetition"", ""Withdrawing""]"
"wisconsin-540","18-25","male","[""Driving"", ""Fraud & Scams"", ""Mealtime"", ""Physical Changes"", ""Resisting Care"", ""UTIs""]"
"beas-216","26-35","female","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Raising Grandchildren"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"baycrest-50","18-25","male","[""Aging"", ""Anxiety"", ""Dementia & Alzheimer's"", ""Diabetes"", ""Hoarding"", ""Mobility"", ""Oral Care""]"
"wisconsin-561","46-60","female","[""Anger"", ""Mental Changes"", ""Relationships""]"
"northcarolina-243","36-45","female","[""Abuse"", ""Activities"", ""Aggression"", ""Aging"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Dementia & Alzheimer's"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Hallucinations"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Prescriptions"", ""Raising Grandchildren"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"sarpc-218","60+","female","[""Activities"", ""Agitation"", ""Anxiety"", ""Bathing"", ""Boredom"", ""Dementia & Alzheimer's"", ""Dressing"", ""Emotions"", ""Falls"", ""Hallucinations"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mental Illness"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Toileting""]"
"northcarolina-267","46-60","female","[""Withdrawing""]"
"northcarolina-271","18-25","female","[""Mealtime"", ""Physical Changes"", ""Repetition""]"
"seniorresources-226","60+","female","[""Aggression"", ""Agitation"", ""Anger"", ""Irritability"", ""Local Resources"", ""Mental Changes"", ""Physical Changes"", ""UTIs""]"
"seniorresources-227","46-60","female","[""Mealtime"", ""Physical Changes"", ""Wandering""]"
"esmv-231","36-45","female","[""Boredom"", ""Falls"", ""Mental Changes"", ""Repetition""]"
"hoco-238","60+","female","[""Dementia & Alzheimer's""]"
"hoco-232","60+","female","[""Activities"", ""Aging"", ""Agitation"", ""Anxiety"", ""Bathing"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Dressing"", ""Falls"", ""Heart Health"", ""Irritability"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mobility"", ""Oral Care"", ""Parkinson's"", ""Raising Grandchildren"", ""Self-Care"", ""Stroke"", ""Toileting""]"
"hoco-212","46-60","female","[""Activities"", ""Anxiety"", ""Emotions"", ""Heart Health"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mealtime"", ""Mental Changes"", ""Mobility"", ""Physical Changes"", ""Relationships""]"
"dayton-50","18-25","male","[""Aging"", ""Dementia & Alzheimer's"", ""Diabetes""]"
"dayton-77","46-60","female","[""Dementia & Alzheimer's""]"
"dayton-121","26-35","male","[""Agitation"", ""Loneliness"", ""Mental Changes""]"
"dayton-144","60+","male","[""Agitation"", ""Anxiety"", ""Bathing"", ""Care Skills"", ""Caregiver Burnout"", ""Dementia & Alzheimer's"", ""Dressing"", ""Emotions"", ""Local Resources"", ""Mealtime"", ""Oral Care"", ""Self-Care"", ""Wandering""]"
"dayton-199","60+","female","[""Anger"", ""Hospice""]"
"dayton-274","46-60","female","[""Activities"", ""Anxiety"", ""Bathing"", ""Care Skills"", ""Caregiver Burnout"", ""Doctors"", ""Emotions"", ""Falls"", ""Kidney Disease"", ""Local Resources"", ""Medications"", ""Oral Care"", ""Power of Attorney"", ""Self-Care"", ""Skin""]"
"dayton-287","60+","female","[""Agitation"", ""Anger"", ""Anxiety"", ""Irritability""]"
"northcarolina-307","60+","female","[""Activities"", ""Aging"", ""Agitation"", ""Anxiety"", ""Dementia & Alzheimer's"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hoarding"", ""Irritability"", ""Local Resources"", ""Loneliness"", ""Mental Changes"", ""Mobility"", ""Physical Changes"", ""Prescriptions"", ""Relationships"", ""Repetition"", ""Self-Care""]"
"aacog-233","60+","female","[""Abuse"", ""Activities"", ""Aggression"", ""Agitation"", ""Anger"", ""Anxiety"", ""Bathing"", ""Bedsores"", ""Boredom"", ""Care Skills"", ""Caregiver Burnout"", ""Caring for Kids"", ""Dementia & Alzheimer's"", ""Developmental Disabilities"", ""Diabetes"", ""Doctors"", ""Dressing"", ""Driving"", ""Emotions"", ""End of Life Care"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Heart Health"", ""Hoarding"", ""Hospice"", ""Hospitals"", ""Irritability"", ""Kidney Disease"", ""Local Resources"", ""Loneliness"", ""Lung Health"", ""Mealtime"", ""Medications"", ""Mental Changes"", ""Mental Illness"", ""Mobility"", ""Moving & Transfers"", ""Oral Care"", ""Pain"", ""Parkinson's"", ""Physical Changes"", ""Power of Attorney"", ""Prescriptions"", ""Relationships"", ""Repetition"", ""Resisting Care"", ""Self-Care"", ""Skin"", ""Stroke"", ""Toileting"", ""UTIs"", ""Wandering"", ""Withdrawing"", ""Work""]"
"seagoaaa-232","60+","female","[""Bathing"", ""Fraud & Scams""]"
"wellwise-259","26-35","female","[""Local Resources"", ""Mealtime""]"
"minnesota-247","46-60","female","[""Abuse"", ""Activities"", ""Aging"", ""Agitation"", ""Anger"", ""Dementia & Alzheimer's"", ""Doctors"", ""Driving"", ""Emotions"", ""Falls"", ""Fraud & Scams"", ""Future Planning"", ""Hallucinations"", ""Hospice"", ""Local Resources"", ""Mealtime"", ""Mental Changes"", ""Parkinson's"", ""Physical Changes"", ""Relationships"", ""Repetition"", ""Stroke"", ""Toileting""]"
